,PDBname,affinity
139,1hvk,10.96
140,1m7y,10.96
141,1n9m,10.96
142,2jb6,10.96
143,3lzs,10.96
144,5nn0,10.96
145,1hvi,10.92
146,3utu,10.92
147,5drq,10.92
148,6cdl,10.92
149,4i8w,10.9
150,2pk6,10.89
151,6dh2,10.89
152,2qi5,10.85
153,3ggv,10.85
154,3i7e,10.85
155,5ult,10.85
156,1ebg,10.82
157,1els,10.82
158,1hxw,10.82
159,3o99,10.82
160,4amy,10.82
161,5wlo,10.82
162,6h5x,10.82
163,6u7o,10.81
164,1c4v,10.8
165,2ajd,10.8
166,3gi4,10.8
167,4hla,10.8
168,5c1m,10.8
169,6h5w,10.8
170,4omc,10.78
171,4gid,10.77
172,4yho,10.74
173,6o0k,10.74
174,2o4p,10.72
175,2wzy,10.72
176,3o9d,10.72
177,5tys,10.72
178,6dif,10.72
179,7std,10.72
180,5alb,10.71
181,2pk5,10.7
182,2wva,10.7
183,2xeg,10.7
184,3myg,10.7
185,3o9a,10.7
186,4agc,10.7
187,4an0,10.7
188,5nee,10.7
189,5wb6,10.7
190,1xon,10.68
191,3cs7,10.68
192,1dif,10.66
193,5fkj,10.66
194,6eqw,10.65
195,1b8o,10.64
196,2xei,10.62
197,4lch,10.62
198,1qbt,10.62
199,2j4a,10.6
200,2zx6,10.6
201,5uov,10.6
202,4uxl,10.6
203,3djk,10.59
204,3ekt,10.59
205,3lzv,10.59
206,5dro,10.59
207,6dh0,10.59
208,6dyv,10.59
209,6dh1,10.58
210,1oxg,10.57
211,1qbr,10.57
212,2qi6,10.57
213,4xtx,10.57
214,1g2o,10.55
215,1n43,10.55
216,6b4n,10.55
217,6dyy,10.55
218,4djp,10.55
219,3vrv,10.54
220,5myo,10.53
221,1b8n,10.52
222,1if7,10.52
223,1n46,10.52
224,1xn2,10.52
225,2f81,10.52
226,2fzz,10.52
227,2ycf,10.52
228,3d4q,10.52
229,4yo8,10.52
230,6ne5,10.52
231,6no9,10.52
232,2o4s,10.51
233,6dj1,10.51
234,1ntk,10.49
235,2zx7,10.49
236,5std,10.49
237,1msm,10.48
238,5ehq,10.48
239,6eqx,10.47
240,2o4k,10.46
241,5dia,10.46
242,2qi4,10.44
243,4ffs,10.44
244,6dyw,10.44
245,1eb1,10.43
246,4oar,10.42
247,4wt2,10.42
248,5ohj,10.42
249,6alz,10.42
250,2jld,10.4
251,4y8z,10.4
252,5d3c,10.4
253,5qin,10.4
254,6oqc,10.4
255,1lhc,10.4
256,1kzk,10.39
257,1xm4,10.39
258,2ftd,10.39
259,1c4u,10.37
260,4ynb,10.37
261,5l7k,10.37
262,4lvt,10.36
263,3i6o,10.35
264,4ngm,10.35
265,4q1y,10.35
266,1mnc,10.34
267,1std,10.33
268,4std,10.33
269,1nq0,10.32
270,4djq,10.32
271,5h8g,10.32
272,1bv7,10.3
273,1c70,10.3
274,1hvs,10.3
275,2p15,10.3
276,3tki,10.3
277,4lmn,10.3
278,4xhe,10.3
279,5nea,10.3
280,5u6c,10.3
281,6mt0,10.3
282,6oqb,10.3
283,6slg,10.3
284,4e3n,10.3
285,6udv,10.29
286,2zx9,10.27
287,4an1,10.26
288,6dyu,10.26
289,1ibc,10.25
290,1rr6,10.25
291,1rt9,10.25
292,1qbu,10.24
293,5b25,10.24
294,3t3c,10.23
295,1mzc,10.22
296,1xzx,10.22
297,3d7h,10.22
298,3l08,10.22
299,5lle,10.22
300,2bcd,10.22
301,5l2z,10.22
302,2qi7,10.21
303,4ww6,10.21
304,5dyo,10.21
305,6ud2,10.21
306,2qi3,10.2
307,4m8x,10.2
308,6nzt,10.2
309,6sde,10.2
310,1ie9,10.19
311,4ggz,10.18
312,5etj,10.18
313,3ps1,10.17
314,3u8n,10.17
315,4tmn,10.17
316,4ww8,10.17
317,5llh,10.17
318,6nzv,10.17
319,4f3k,10.16
320,1a5g,10.15
321,2bq6,10.15
322,2r5d,10.15
323,2xk9,10.15
324,3tge,10.15
325,5lpd,10.15
326,5v82,10.15
327,1pf7,10.14
328,5zty,10.12
329,6chp,10.12
330,6h7z,10.12
331,1y6r,10.11
332,1sr7,10.1
333,2o4j,10.1
334,2w3k,10.1
335,3o57,10.1
336,4hra,10.1
337,5axq,10.1
338,6ggn,10.1
339,2p16,10.1
340,5a9u,10.1
341,3gws,10.09
342,3p0g,10.08
343,5ah2,10.08
344,1sdu,10.07
345,3lzu,10.06
346,1ind,10.05
347,1n4k,10.05
348,1nm6,10.05
349,4rfm,10.05
350,6k9u,10.05
351,5unp,10.02
352,3mxe,10.01
353,4heu,10.01
354,1bnm,10
355,1bnn,10
356,1bxo,10
357,1d4h,10
358,1ec2,10
359,1flr,10
360,1fmb,10
361,1g37,10
362,1g3m,10
363,1gar,10
364,1igj,10
365,1kv2,10
366,1o5p,10
367,1rjk,10
368,1rwq,10
369,1sfi,10
370,2ceo,10
371,2ie4,10
372,2ll6,10
373,2w16,10
374,2w3i,10
375,2yex,10
376,2zo3,10
377,3c7p,10
378,3e7a,10
379,3h5b,10
380,3kry,10
381,3u0d,10
382,3vru,10
383,4eki,10
384,4fe6,10
385,4hgc,10
386,4msg,10
387,4mt9,10
388,4oas,10
389,4odf,10
390,4ogt,10
391,4phw,10
392,4ppb,10
393,4twp,10
394,5agu,10
395,5g0q,10
396,5hx8,10
397,5kzi,10
398,5wo4,10
399,6.00E+23,10
400,6o8i,10
401,6q96,10
402,6udi,10
403,6udt,10
404,2xn7,10
405,4ivc,10
406,4ode,10
407,4ogn,10
408,1bv9,9.96
409,1fjs,9.96
410,2xmy,9.96
411,4m8y,9.96
412,5lwe,9.96
413,6o0p,9.96
414,1hvl,9.95
415,4hvb,9.95
416,6ps0,9.94
417,6dh6,9.93
418,1hxb,9.92
419,1zsf,9.92
420,3bi1,9.92
421,3ies,9.92
422,3rlb,9.92
423,4hpy,9.92
424,4qoc,9.92
425,5nkn,9.92
426,6me4,9.92
427,1nfs,9.92
428,2vnp,9.92
429,3erd,9.9
430,1a42,9.89
431,1bn3,9.89
432,1.00E+66,9.89
433,1ouk,9.89
434,1yt7,9.89
435,2drc,9.89
436,5q0f,9.89
437,5u6b,9.89
438,6bbs,9.89
439,6hkz,9.89
440,6ps4,9.89
441,6dh7,9.88
442,1a52,9.86
443,2std,9.85
444,2ycq,9.85
445,3kdb,9.85
446,3rdo,9.85
447,3sud,9.85
448,5l2y,9.85
449,5x02,9.85
450,5ywx,9.85
451,6h7o,9.85
452,6oqd,9.85
453,6q89,9.85
454,2xef,9.84
455,6dh8,9.84
456,1pvn,9.82
457,1zsr,9.82
458,3ah8,9.82
459,3m36,9.82
460,3nu3,9.82
461,4amz,9.82
462,4ear,9.82
463,4eb8,9.82
464,4wup,9.82
465,4xtz,9.82
466,4zo5,9.82
467,5jzy,9.82
468,1bnt,9.8
469,1h1b,9.8
470,1nlj,9.8
471,1tbz,9.8
472,2fb8,9.8
473,3e7b,9.8
474,3lxk,9.8
475,3nuo,9.8
476,4yur,9.8
477,5bvd,9.8
478,5tku,9.8
479,6bqh,9.8
480,6drz,9.8
481,6ixd,9.8
482,4x24,9.78
483,6ps3,9.78
484,2yir,9.77
485,3ggu,9.77
486,456c,9.77
487,5a8y,9.77
488,5lxb,9.77
489,5na0,9.77
490,6c7d,9.77
491,6fs0,9.77
492,6g4z,9.77
493,3pe2,9.76
494,4yhm,9.76
495,1d2s,9.74
496,1nh0,9.74
497,2g00,9.74
498,3dk1,9.74
499,3e8r,9.74
500,3p3g,9.74
501,4b7q,9.74
502,4u7q,9.74
503,5izf,9.74
504,5q0g,9.74
505,5tdi,9.74
506,6h9x,9.74
507,5vk0,9.74
508,1z6e,9.72
509,2i0g,9.72
510,3elm,9.72
511,4lrh,9.72
512,4wkn,9.72
513,5bvf,9.72
514,4crl,9.71
515,1bnu,9.7
516,1df8,9.7
517,1eby,9.7
518,1fkb,9.7
519,1jik,9.7
520,1mrw,9.7
521,1tyn,9.7
522,1vsn,9.7
523,2jbj,9.7
524,2ofv,9.7
525,2vh6,9.7
526,3drp,9.7
527,3g6z,9.7
528,3i06,9.7
529,3imy,9.7
530,3kmm,9.7
531,3n5k,9.7
532,3nmq,9.7
533,3sm2,9.7
534,3w54,9.7
535,4bti,9.7
536,4cd0,9.7
537,4cmt,9.7
538,4cmu,9.7
539,4fk6,9.7
540,4m1j,9.7
541,4mib,9.7
542,4na7,9.7
543,4q1n,9.7
544,4qab,9.7
545,4v05,9.7
546,5agv,9.7
547,5b5p,9.7
548,5dxt,9.7
549,5ke0,9.7
550,5sz7,9.7
551,5u98,9.7
552,5uiu,9.7
553,6b8u,9.7
554,6g6w,9.7
555,6nzp,9.7
556,6oja,9.7
557,6ps1,9.7
558,6ps6,9.7
559,3eyd,9.7
560,4e3m,9.7
561,5sz4,9.7
562,5ml3,9.69
563,6b3v,9.69
564,3c45,9.68
565,3dp9,9.68
566,4ufd,9.68
567,4zip,9.68
568,5awj,9.68
569,6n78,9.68
570,6n79,9.68
571,3o9l,9.66
572,4acg,9.66
573,6b8y,9.66
574,3pe1,9.65
575,1i7m,9.64
576,1if8,9.64
577,2zx8,9.64
578,3eky,9.64
579,3el1,9.64
580,3s53,9.64
581,3s54,9.64
582,4b7r,9.64
583,5dh5,9.64
584,6cqt,9.64
585,6cqz,9.64
586,4iaw,9.63
587,1lhd,9.62
588,3oad,9.62
589,3orn,9.62
590,3s56,9.62
591,5eob,9.62
592,5tqg,9.62
593,6c7f,9.62
594,7hvp,9.62
595,2qky,9.61
596,3uzc,9.61
597,1o45,9.6
598,1snk,9.6
599,3ert,9.6
600,4gqp,9.6
601,4mc6,9.59
602,5cjf,9.59
603,5tyr,9.59
604,6duk,9.59
605,1qku,9.59
606,4gql,9.59
607,1i37,9.57
608,1o86,9.57
609,1so2,9.57
610,4ax9,9.57
611,4ea3,9.57
612,4lsj,9.57
613,5fbn,9.57
614,5l15,9.57
615,6mqm,9.57
616,2z4o,9.57
617,4iax,9.56
618,1dmp,9.55
619,1ws1,9.55
620,2jj3,9.55
621,4eox,9.55
622,4fcd,9.55
623,4gr0,9.55
624,4wkp,9.55
625,1g52,9.54
626,1lhe,9.54
627,2pog,9.54
628,2yit,9.54
629,3ppm,9.54
630,3pr0,9.54
631,3wt5,9.54
632,4afh,9.54
633,5e2n,9.54
634,5jfd,9.54
635,1c7f,9.52
636,1m4h,9.52
637,1ms6,9.52
638,1re8,9.52
639,1vij,9.52
640,1vik,9.52
641,2ax9,9.52
642,2bys,9.52
643,2g94,9.52
644,2gvj,9.52
645,2hoc,9.52
646,2hog,9.52
647,2pvw,9.52
648,2q6b,9.52
649,2z7r,9.52
650,3fv3,9.52
651,3g5k,9.52
652,3m8q,9.52
653,3u0t,9.52
654,3v8t,9.52
655,3wym,9.52
656,4dve,9.52
657,4ewh,9.52
658,4ivd,9.52
659,4ty7,9.52
660,4wtu,9.52
661,4xj0,9.52
662,4y73,9.52
663,5edi,9.52
664,5eol,9.52
665,5llc,9.52
666,5nhl,9.52
667,5nho,9.52
668,6j6m,9.52
669,6mo5,9.52
670,6mom,9.52
671,6n7d,9.52
672,6nzq,9.52
673,3g0w,9.52
674,1c6y,9.51
675,1hvr,9.51
676,1s19,9.51
677,3lhj,9.51
678,3oag,9.51
679,5fbo,9.51
680,5uyu,9.51
681,2p4s,9.51
682,4xu3,9.5
683,1bnq,9.49
684,1ca8,9.49
685,2gdo,9.49
686,2phb,9.49
687,2r6y,9.49
688,3ixj,9.49
689,4djh,9.49
690,4xu1,9.49
691,5kr1,9.49
692,5nhf,9.49
693,1q4x,9.48
694,1qfs,9.48
695,1xjd,9.48
696,4gfd,9.48
697,6e7j,9.48
698,1qbs,9.47
699,4wko,9.47
700,5unf,9.47
701,5ung,9.47
702,5v37,9.47
703,1p01,9.46
704,1pau,9.46
705,2auz,9.46
706,2pvn,9.46
707,2yki,9.46
708,4b7p,9.46
709,5iub,9.46
710,5toz,9.46
711,5unh,9.46
712,6g2r,9.46
713,4glr,9.46
714,6h7y,9.46
715,5ml6,9.45
716,1g1d,9.44
717,3c1k,9.44
718,4mc9,9.44
719,5fdr,9.44
720,6f7t,9.44
721,1cil,9.43
722,2jdl,9.43
723,3hr1,9.43
724,3rbu,9.43
725,3vjk,9.43
726,3vjm,9.43
727,6bc9,9.43
728,6dry,9.43
729,6mx8,9.43
730,1hsg,9.42
731,1hsh,9.42
732,3bgs,9.42
733,3e8u,9.42
734,3ksq,9.42
735,5aaa,9.42
736,6ax1,9.42
737,6c7i,9.42
738,1nl4,9.41
739,2aa6,9.41
740,3ekv,9.41
741,3ekx,9.41
742,4c1w,9.41
743,5jop,9.41
744,6acb,9.41
745,6pt3,9.41
746,1azx,9.4
747,1cbr,9.4
748,1.00E+03,9.4
749,1ebz,9.4
750,1fkf,9.4
751,1ksn,9.4
752,1met,9.4
753,1pme,9.4
754,1sqn,9.4
755,1xp6,9.4
756,2bpx,9.4
757,2fm0,9.4
758,2izx,9.4
759,2o4r,9.4
760,2v10,9.4
761,2w26,9.4
762,3drr,9.4
763,3e2m,9.4
764,3fw4,9.4
765,3g70,9.4
766,3kqd,9.4
767,3lq8,9.4
768,3o64,9.4
769,4a4q,9.4
770,4erf,9.4
771,4fcr,9.4
772,4mwv,9.4
773,4oba,9.4
774,4qac,9.4
775,4wrs,9.4
776,5anu,9.4
777,5i3y,9.4
778,5llo,9.4
779,5lp1,9.4
780,5ncy,9.4
781,5x27,9.4
782,6got,9.4
783,6rni,9.4
784,6suo,9.4
785,4g31,9.4
786,3nuj,9.39
787,3vrw,9.39
788,4ca5,9.39
789,4cqg,9.39
790,4mwr,9.39
791,5n9n,9.39
792,5t4b,9.38
793,6me3,9.38
794,6ohd,9.38
795,3hqz,9.38
796,1flm,9.37
797,2p95,9.37
798,3vs3,9.37
799,4a16,9.37
800,4wzv,9.37
801,5b5b,9.37
802,5xjm,9.37
803,6me2,9.37
804,2r6w,9.36
805,2z4b,9.36
806,3bv2,9.36
807,6ghp,9.36
808,6iji,9.36
809,2bdj,9.35
810,2.00E+27,9.35
811,3tpx,9.35
812,6h36,9.35
813,1bn1,9.34
814,1inc,9.34
815,3bv3,9.34
816,3vf5,9.34
817,4ks2,9.34
818,5b4k,9.34
819,5f9e,9.34
820,5n9k,9.34
821,6hkx,9.34
822,6hky,9.34
823,6o0m,9.34
824,3gw5,9.33
825,3q4b,9.33
826,3vbq,9.33
827,2aqu,9.32
828,3krr,9.32
829,3vva,9.32
830,3wha,9.32
831,4i31,9.32
832,5jfp,9.32
833,4okg,9.32
834,1bn4,9.31
835,3lnz,9.31
836,3rdq,9.31
837,6ibl,9.31
838,1bil,9.3
839,1udt,9.3
840,1w6h,9.3
841,1xp1,9.3
842,2aux,9.3
843,2og8,9.3
844,2wxk,9.3
845,2znt,9.3
846,3b8q,9.3
847,3bys,9.3
848,3d7f,9.3
849,3drs,9.3
850,3fv1,9.3
851,3kf4,9.3
852,3kwj,9.3
853,3mg4,9.3
854,3mvh,9.3
855,3nu6,9.3
856,3v9b,9.3
857,3vtb,9.3
858,4btu,9.3
859,4crf,9.3
860,4er2,9.3
861,4fkk,9.3
862,4hld,9.3
863,4hzx,9.3
864,4q1a,9.3
865,4qge,9.3
866,5anv,9.3
867,5ceo,9.3
868,5cgc,9.3
869,5cgd,9.3
870,5dcz,9.3
871,5eak,9.3
872,5l17,9.3
873,5t18,9.3
874,5u7d,9.3
875,6h2z,9.3
876,6h34,9.3
877,6nad,9.3
878,6nzr,9.3
879,6orr,9.3
880,6udu,9.3
881,2yxj,9.3
882,3kqb,9.3
883,2ayr,9.29
884,5kqy,9.29
885,5vp1,9.29
886,1xow,9.28
887,2ao6,9.28
888,2qtu,9.28
889,3g58,9.28
890,3kdc,9.28
891,3p8n,9.28
892,3rux,9.28
893,3vhd,9.28
894,4asd,9.28
895,4n6h,9.28
896,4ybj,9.28
897,5iu4,9.28
898,5t52,9.28
899,5tyn,9.28
900,830c,9.28
901,1sdt,9.27
902,2xab,9.27
903,3b65,9.27
904,3nzk,9.27
905,3ti6,9.27
906,4xtv,9.27
907,5a0c,9.27
908,1db1,9.26
909,2avv,9.26
910,3zlr,9.26
911,4inu,9.26
912,4ty1,9.26
913,4zj8,9.26
914,5u9d,9.26
915,3mg0,9.25
916,5n87,9.25
917,4dv8,9.24
918,4hwb,9.24
919,4pjt,9.24
920,5h7g,9.24
921,5koq,9.24
922,5llp,9.24
923,6drx,9.24
924,6g3o,9.24
925,6n77,9.24
926,4xu2,9.23
927,1d4k,9.22
928,1fcz,9.22
929,1hpo,9.22
930,1hps,9.22
931,1hpv,9.22
932,1jp5,9.22
933,1uho,9.22
934,1x39,9.22
935,1z1r,9.22
936,1zvx,9.22
937,2cer,9.22
938,2jb5,9.22
939,2o4l,9.22
940,2v0z,9.22
941,2yb9,9.22
942,3b2w,9.22
943,3b8r,9.22
944,3gc7,9.22
945,3of8,9.22
946,3rwp,9.22
947,3zc6,9.22
948,4an3,9.22
949,4jff,9.22
950,4jia,9.22
951,4s1g,9.22
952,4uzd,9.22
953,4wx4,9.22
954,4yht,9.22
955,5eei,9.22
956,5i3w,9.22
957,5ntw,9.22
958,6gcx,9.22
959,6h33,9.22
960,6i3u,9.22
961,6n7b,9.22
962,4f4p,9.22
963,1kwq,9.21
964,1mh5,9.21
965,1r6g,9.21
966,4xty,9.21
967,5ee7,9.21
968,5vp0,9.21
969,6pgx,9.21
970,1sqa,9.21
971,5laq,9.2
972,5t2m,9.2
973,5upz,9.2
974,6awn,9.2
975,6ggg,9.2
976,6mwe,9.2
977,1x81,9.19
978,2f14,9.19
979,2hy0,9.19
980,2w77,9.19
981,2xb7,9.19
982,2xy9,9.19
983,3vfa,9.19
984,5zun,9.19
985,6ays,9.19
986,6f5l,9.19
987,1z71,9.18
988,2fgu,9.18
989,4ocz,9.18
990,5dhh,9.18
991,5y7k,9.18
992,2ozr,9.17
993,2p94,9.17
994,4ayv,9.17
995,4phv,9.17
996,5wl0,9.17
997,6moo,9.17
998,6n7c,9.17
999,1xoq,9.17
1000,5zz4,9.17
1001,3q2h,9.16
1002,5q0e,9.16
1003,5usf,9.16
1004,1ayu,9.15
1005,1czl,9.15
1006,1d5j,9.15
1007,1pig,9.15
1008,2fde,9.15
1009,2qmg,9.15
1010,2xjx,9.15
1011,3a3y,9.15
1012,3bhx,9.15
1013,3d91,9.15
1014,3ibu,9.15
1015,3rsv,9.15
1016,3sn7,9.15
1017,3snl,9.15
1018,4bsq,9.15
1019,4mf1,9.15
1020,4p6w,9.15
1021,4pqn,9.15
1022,4ql8,9.15
1023,4rcd,9.15
1024,4xg9,9.15
1025,4y8y,9.15
1026,5ism,9.15
1027,5j18,9.15
1028,5kr0,9.15
1029,5ntp,9.15
1030,5zxi,9.15
1031,6aak,9.15
1032,6bvh,9.15
1033,6c7q,9.15
1034,6dkb,9.15
1035,6gop,9.15
1036,6mod,9.15
1037,6n6o,9.15
1038,6odz,9.15
1039,8cpa,9.15
1040,2wxg,9.15
1041,4clj,9.15
1042,4udb,9.15
1043,5aml,9.15
1044,3gen,9.14
1045,3qg6,9.14
1046,3zmm,9.14
1047,4n1z,9.14
1048,5dhg,9.14
1049,5j20,9.14
1050,5l30,9.14
1051,5t8e,9.14
1052,1ove,9.13
1053,1ta6,9.13
1054,2wb5,9.13
1055,3su3,9.13
1056,3ttp,9.12
1057,3v6s,9.12
1058,5b4l,9.12
1059,5nkb,9.12
1060,5vad,9.12
1061,1d9i,9.11
1062,1rhk,9.11
1063,4xu0,9.11
1064,1akq,9.1
1065,1h22,9.1
1066,1sj0,9.1
1067,2b5j,9.1
1068,2c6e,9.1
1069,2q1j,9.1
1070,2yiw,9.1
1071,2z92,9.1
1072,3byu,9.1
1073,3ds6,9.1
1074,3g72,9.1
1075,3gnw,9.1
1076,3krl,9.1
1077,3lea,9.1
1078,3lpk,9.1
1079,3mdz,9.1
1080,3o56,9.1
1081,3pwm,9.1
1082,3qri,9.1
1083,3uok,9.1
1084,3vf7,9.1
1085,4az6,9.1
1086,4e3k,9.1
1087,4hws,9.1
1088,4mwq,9.1
1089,4n1t,9.1
1090,5eek,9.1
1091,5gmp,9.1
1092,5ivt,9.1
1093,5ncz,9.1
1094,5nwz,9.1
1095,6aum,9.1
1096,6c2r,9.1
1097,6gg8,9.1
1098,6sd9,9.1
1099,6sq0,9.1
1100,2qd7,9.1
1101,4ppa,9.1
1102,5sz0,9.1
1103,5t2d,9.1
1104,1akr,9.09
1105,1d3d,9.09
1106,1msn,9.09
1107,2g5t,9.09
1108,2v58,9.09
1109,2w8y,9.09
1110,3agm,9.09
1111,3eq7,9.09
1112,3mw1,9.09
1113,4kp6,9.09
1114,4zls,9.09
1115,5kw2,9.09
1116,6cdm,9.09
1117,1bnw,9.08
1118,1lhw,9.08
1119,1tu6,9.08
1120,2rkf,9.08
1121,3a2o,9.08
1122,3aox,9.08
1123,3dst,9.08
1124,3ffg,9.08
1125,3sue,9.08
1126,3x00,9.08
1127,4qn7,9.08
1128,6ckw,9.08
1129,1xmu,9.08
1130,1nw4,9.07
1131,3gba,9.07
1132,4cmo,9.07
1133,4jnj,9.07
1134,4oo9,9.07
1135,4pv0,9.07
1136,4xk9,9.07
1137,6e4f,9.07
1138,2qd8,9.07
1139,1you,9.06
1140,2byp,9.06
1141,3eq8,9.06
1142,3fc2,9.06
1143,4nau,9.06
1144,5aab,9.06
1145,5t54,9.06
1146,5trf,9.06
1147,1ezq,9.05
1148,1kdk,9.05
1149,1ni1,9.05
1150,1pbk,9.05
1151,1s63,9.05
1152,1udu,9.05
1153,2i6a,9.05
1154,2v12,9.05
1155,3hb4,9.05
1156,3nu9,9.05
1157,3ti8,9.05
1158,3tt0,9.05
1159,3vuc,9.05
1160,4an2,9.05
1161,4aqc,9.05
1162,4e4n,9.05
1163,4i72,9.05
1164,4m3m,9.05
1165,4uja,9.05
1166,4xkx,9.05
1167,5i5z,9.05
1168,5l7f,9.05
1169,5m7s,9.05
1170,5vfc,9.05
1171,5vo6,9.05
1172,6c2t,9.05
1173,1ebw,9.05
1174,5bqi,9.05
1175,1ec3,9.04
1176,1g53,9.04
1177,3g4g,9.04
1178,3g4i,9.04
1179,3r0t,9.04
1180,3vfb,9.04
1181,4od0,9.04
1182,5tvn,9.04
1183,6c4d,9.04
1184,6nzf,9.04
1185,1qkt,9.04
1186,3m37,9.04
1187,2ql9,9.03
1188,3lj3,9.03
1189,4gg5,9.03
1190,4jh0,9.03
1191,4ppc,9.03
1192,4xtw,9.03
1193,5axp,9.03
1194,5kgn,9.03
1195,5w0e,9.03
1196,6b7h,9.03
1197,6cyb,9.02
1198,2fes,9.01
1199,2q54,9.01
1200,3jzb,9.01
1201,4baq,9.01
1202,4wri,9.01
1203,5e2s,9.01
1204,4omd,9.01
1205,1ag9,9
1206,1apv,9
1207,1ba8,9
1208,1czr,9
1209,1dbb,9
1210,1e3g,9
1211,1fm9,9
1212,1gvu,9
1213,1hef,9
1214,1hiv,9
1215,1iyl,9
1216,1jii,9
1217,1k27,9
1218,1lcj,9
1219,1mq5,9
1220,1mu8,9
1221,1mxo,9
1222,1pop,9
1223,1rm8,9
1224,1syo,9
1225,1sz0,9
1226,1xp0,9
1227,1y0l,9
1228,2asu,9
1229,2b7a,9
1230,2ban,9
1231,2i03,9
1232,2i4t,9
1233,2ien,9
1234,2iok,9
1235,2j4i,9
1236,2ofu,9
1237,2on3,9
1238,2oo8,9
1239,2ow1,9
1240,2p4y,9
1241,2r0u,9
1242,2r2l,9
1243,2r6n,9
1244,2rcx,9
1245,2rgu,9
1246,2w05,9
1247,2wxj,9
1248,2wyj,9
1249,2xp2,9
1250,3dcw,9
1251,3dd0,9
1252,3i0s,9
1253,3iad,9
1254,3irx,9
1255,3jrx,9
1256,3jxw,9
1257,3jy9,9
1258,3k54,9
1259,3k98,9
1260,3kc1,9
1261,3kw9,9
1262,3lhs,9
1263,3li2,9
1264,3m1s,9
1265,3nw9,9
1266,3o1g,9
1267,3pa3,9
1268,3r02,9
1269,3tjd,9
1270,3tkm,9
1271,3u6h,9
1272,3u6i,9
1273,3u8w,9
1274,3ui7,9
1275,3uri,9
1276,4c2v,9
1277,4dei,9
1278,4dmy,9
1279,4flh,9
1280,4gee,9
1281,4ggl,9
1282,4gm3,9
1283,4gm8,9
1284,4h3f,9
1285,4hyh,9
1286,4iwd,9
1287,4ktc,9
1288,4l8m,9
1289,4mk8,9
1290,4mka,9
1291,4o6e,9
1292,4ps8,9
1293,4qgg,9
1294,4qgh,9
1295,4rio,9
1296,4s2i,9
1297,4uwk,9
1298,4whz,9
1299,4wx6,9
1300,4x60,9
1301,4x61,9
1302,4xyf,9
1303,4ys7,9
1304,5bpa,9
1305,5dxh,9
1306,5ef7,9
1307,5eyd,9
1308,5hdu,9
1309,5if4,9
1310,5iis,9
1311,5kkt,9
1312,5ljq,9
1313,5ls6,9
1314,5myk,9
1315,5nu1,9
1316,5q0d,9
